Topic,Characteristic,Note,Total,
Mother tongue,"          African, n.o.s.",,0,
Mother tongue,        Sign languages,,130,
Mother tongue,          American Sign Language,,110,
Mother tongue,          Quebec Sign Language,,0,
Mother tongue,"          Sign languages, n.i.e.",,25,
Mother tongue,        Sino-Tibetan languages,,40325,
Mother tongue,          Chinese languages,,39910,
Mother tongue,            Hakka,,250,
Mother tongue,            Mandarin,,23180,
Mother tongue,            Min Dong,,45,
Mother tongue,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,885,
Mother tongue,            Wu (Shanghainese),,280,
Mother tongue,            Yue (Cantonese),,14830,
Mother tongue,"            Chinese, n.o.s.",,410,
Mother tongue,"            Chinese languages, n.i.e.",,35,
Mother tongue,          Tibeto-Burman languages,,400,
Mother tongue,            Burmese,,110,
Mother tongue,            Kuki-Chin languages,,0,
Mother tongue,            Karenic languages,,0,
Mother tongue,              S'gaw Karen,,0,
Mother tongue,"              Karenic languages, n.i.e.",,0,
Mother tongue,            Tibetan,,265,
Mother tongue,"            Tibeto-Burman languages, n.i.e.",,25,
Mother tongue,"          Sino-Tibetan languages, n.i.e.",,15,
Mother tongue,        Tai-Kadai languages,,305,
Mother tongue,          Lao,,145,
Mother tongue,          Thai,,155,
Mother tongue,"          Tai-Kadai languages, n.i.e.",,5,
Mother tongue,        Turkic languages,,1435,
Mother tongue,          Azerbaijani,,45,
Mother tongue,          Kazakh,,5,
Mother tongue,          Turkish,,1235,
Mother tongue,          Uyghur,,80,
Mother tongue,          Uzbek,,45,
Mother tongue,"          Turkic languages, n.i.e.",,20,
Mother tongue,        Uralic languages,,1570,
Mother tongue,          Estonian,,105,
Mother tongue,          Finnish,,105,
Mother tongue,          Hungarian,,1360,
Mother tongue,"        Other languages, n.i.e.",,15,
Mother tongue,  Multiple responses,,59890,
Mother tongue,    English and French,,2500,
Mother tongue,    English and non-official language(s),,50705,
Mother tongue,    French and non-official language(s),,960,
Mother tongue,"    English, French and non-official language(s)",,1400,
Mother tongue,    Multiple non-official languages,,4325,
All languages spoken at home,Total - All languages spoken at home for the total population excluding institutional residents - 100% data,40,714840,
All languages spoken at home,  English,,339600,
All languages spoken at home,  French,,1660,
All languages spoken at home,  Non-official language,,92650,
All languages spoken at home,    Indigenous,39,0,
All languages spoken at home,    Non-Indigenous,,92645,
All languages spoken at home,  English and French,,6065,
All languages spoken at home,  English and non-official language(s),,257535,
All languages spoken at home,  French and non-official language(s),,500,
All languages spoken at home,"  English, French and non-official language(s)",,8490,
All languages spoken at home,  Multiple non-official languages,,8335,
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,41,714840,
Language spoken most often at home,  Single responses,,642395,
Language spoken most often at home,    Official languages,,445105,
Language spoken most often at home,      English,,442265,
Language spoken most often at home,      French,,2840,
Language spoken most often at home,    Non-official languages,,197295,
Language spoken most often at home,      Indigenous languages,39,0,
Language spoken most often at home,        Algonquian languages,,0,
Language spoken most often at home,          Blackfoot,,0,
Language spoken most often at home,          Cree-Innu languages,,0,
Language spoken most often at home,            Atikamekw,,0,
Language spoken most often at home,            Cree languages,,0,
Language spoken most often at home,              Ililimowin (Moose Cree),,0,
Language spoken most often at home,              Inu Ayimun (Southern East Cree),,0,
Language spoken most often at home,              Iyiyiw-Ayimiwin (Northern East Cree),,0,
Language spoken most often at home,              Nehinawewin (Swampy Cree),,0,
Language spoken most often at home,              Nehiyawewin (Plains Cree),,0,
Language spoken most often at home,              Nihithawiwin (Woods Cree),,0,
Language spoken most often at home,"              Cree, n.o.s.",,0,
Language spoken most often at home,            Innu (Montagnais),,0,
Language spoken most often at home,            Naskapi,,0,
Language spoken most often at home,          Eastern Algonquian languages,,0,
Language spoken most often at home,            Mi'kmaq,,0,
Language spoken most often at home,            Wolastoqewi (Malecite),,0,
Language spoken most often at home,          Ojibway-Potawatomi languages,,0,
Language spoken most often at home,            Anicinabemowin (Algonquin),,0,
Language spoken most often at home,            Oji-Cree,,0,
Language spoken most often at home,            Ojibway languages,,0,
Language spoken most often at home,              Anishinaabemowin (Chippewa),,0,
Language spoken most often at home,              Daawaamwin (Odawa),,0,
Language spoken most often at home,              Saulteau (Western Ojibway),,0,
Language spoken most often at home,"              Ojibway, n.o.s.",,0,
Language spoken most often at home,"          Algonquian languages, n.i.e.",,0,
Language spoken most often at home,        Athabaskan languages,,0,
Language spoken most often at home,          Northern Athabaskan languages,,0,
Language spoken most often at home,            Dakelh (Carrier),,0,
Language spoken most often at home,            Dane-zaa (Beaver),,0,
Language spoken most often at home,"            Dene, n.o.s.",,0,
Language spoken most often at home,            Gwich'in,,0,
Language spoken most often at home,            Slavey-Hare languages,,0,
Language spoken most often at home,              Deh Gah Ghotie Zhatie (South Slavey),,0,
Language spoken most often at home,              Satuotine Yati (North Slavey),,0,
Language spoken most often at home,"              Slavey, n.o.s.",,0,
Language spoken most often at home,            Tahltan languages,,0,
Language spoken most often at home,              Kaska (Nahani),,0,
Language spoken most often at home,              Tahltan,,0,
Language spoken most often at home,            Tlicho (Dogrib),,0,
Language spoken most often at home,            Tse'khene (Sekani),,0,
Language spoken most often at home,            Tsilhqot'in (Chilcotin),,0,
Language spoken most often at home,            Tsuu T'ina (Sarsi),,0,
Language spoken most often at home,            Tutchone languages,,0,
Language spoken most often at home,              Northern Tutchone,,0,
Language spoken most often at home,              Southern Tutchone,,0,
Language spoken most often at home,"              Tutchone, n.o.s.",,0,
Language spoken most often at home,            Wetsuwet'en-Babine,,0,
Language spoken most often at home,          Tlingit,,0,
Language spoken most often at home,"          Athabaskan languages, n.i.e.",,0,
Language spoken most often at home,        Haida,,0,
Language spoken most often at home,        Inuktut (Inuit) languages,,0,
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0,
Language spoken most often at home,            Inuinnaqtun,,0,
Language spoken most often at home,            Inuvialuktun,,0,
Language spoken most often at home,          Inuktitut,,0,
Language spoken most often at home,"          Inuktut (Inuit) languages, n.i.e.",,0,
Language spoken most often at home,        Iroquoian languages,,0,
Language spoken most often at home,          Cayuga,,0,
Language spoken most often at home,          Mohawk,,0,
Language spoken most often at home,          Oneida,,0,
Language spoken most often at home,"          Iroquoian languages, n.i.e.",,0,
Language spoken most often at home,        Ktunaxa (Kutenai),,0,
Language spoken most often at home,        Michif,,0,
Language spoken most often at home,        Salish languages,,0,
Language spoken most often at home,          Halkomelem,,0,
Language spoken most often at home,          Lillooet,,0,
Language spoken most often at home,          Ntlakapamux (Thompson),,0,
Language spoken most often at home,          Secwepemctsin (Shuswap),,0,
Language spoken most often at home,          Squamish,,0,
Language spoken most often at home,          Straits,,0,
Language spoken most often at home,          Syilx (Okanagan),,0,
Language spoken most often at home,"          Salish languages, n.i.e.",,0,
Language spoken most often at home,        Siouan languages,,0,
Language spoken most often at home,          Assiniboine,,0,
Language spoken most often at home,          Dakota,,0,
Language spoken most often at home,          Stoney,,0,
Language spoken most often at home,"          Siouan languages, n.i.e.",,0,
Language spoken most often at home,        Tsimshian languages,,0,
Language spoken most often at home,          Gitxsan (Gitksan),,0,
Language spoken most often at home,          Nisga'a,,0,
Language spoken most often at home,          Tsimshian,,0,
Language spoken most often at home,        Wakashan languages,,0,
Language spoken most often at home,          Haisla,,0,
Language spoken most often at home,          Heiltsuk,,0,
Language spoken most often at home,          Kwak'wala (Kwakiutl),,0,
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0,
Language spoken most often at home,"          Wakashan languages, n.i.e.",,0,
Language spoken most often at home,"        Indigenous languages, n.i.e.",,0,
Language spoken most often at home,"        Indigenous languages, n.o.s.",,0,
Language spoken most often at home,      Non-Indigenous languages,,197290,
Language spoken most often at home,        Afro-Asiatic languages,,22565,
Language spoken most often at home,          Berber languages,,25,
Language spoken most often at home,            Kabyle,,0,
Language spoken most often at home,            Tamazight,,15,
Language spoken most often at home,"            Berber languages, n.i.e.",,0,
Language spoken most often at home,          Chadic languages,,25,
Language spoken most often at home,            Hausa,,25,
Language spoken most often at home,            Mina,,0,
Language spoken most often at home,          Coptic,,90,
Language spoken most often at home,          Cushitic languages,,505,
Language spoken most often at home,            Bilen,,5,
Language spoken most often at home,            Oromo,,10,
Language spoken most often at home,            Somali,,485,
Language spoken most often at home,"            Cushitic languages, n.i.e.",,0,
Language spoken most often at home,          Semitic languages,,21920,
Language spoken most often at home,            Amharic,,135,
Language spoken most often at home,            Arabic,,20380,
Language spoken most often at home,            Aramaic languages,,1095,
Language spoken most often at home,              Assyrian Neo-Aramaic,,730,
Language spoken most often at home,              Chaldean Neo-Aramaic,,270,
Language spoken most often at home,"              Aramaic, n.o.s.",,100,
Language spoken most often at home,            Harari,,20,
Language spoken most often at home,            Hebrew,,15,
Language spoken most often at home,            Maltese,,165,
Language spoken most often at home,            Tigrigna,,95,
Language spoken most often at home,"            Semitic languages, n.i.e.",,0,
Language spoken most often at home,        Austro-Asiatic languages,,7495,
Language spoken most often at home,          Khmer (Cambodian),,15,
Language spoken most often at home,          Vietnamese,,7475,
Language spoken most often at home,"          Austro-Asiatic languages, n.i.e",,0,
Language spoken most often at home,        Austronesian languages,,11880,
Language spoken most often at home,          Bikol,,25,
Language spoken most often at home,"          Bisaya, n.o.s.",,95,
Language spoken most often at home,          Cebuano,,265,
Language spoken most often at home,          Fijian,,0,
Language spoken most often at home,          Hiligaynon,,160,
Language spoken most often at home,          Ilocano,,350,
Language spoken most often at home,          Indonesian,,385,
Language spoken most often at home,          Kankanaey,,0,
Language spoken most often at home,          Kinaray-a,,0,
Language spoken most often at home,          Malagasy languages,,0,
Language spoken most often at home,            Merina,,0,
Language spoken most often at home,"            Malagasy, n.o.s.",,0,
Language spoken most often at home,          Malay,,5,
Language spoken most often at home,"          Pampangan (Kapampangan, Pampango)",,155,
Language spoken most often at home,          Pangasinan,,10,
Language spoken most often at home,"          Tagalog (Pilipino, Filipino)",,10335,
Language spoken most often at home,          Waray-Waray,,20,
Language spoken most often at home,"          Austronesian languages, n.i.e.",,55,
Language spoken most often at home,        Creole languages,,430,
Language spoken most often at home,          Haitian Creole,,25,
Language spoken most often at home,          Jamaican English Creole,,15,
Language spoken most often at home,          Krio,,5,
Language spoken most often at home,          Morisyen,,295,
Language spoken most often at home,          Sango,,0,
Language spoken most often at home,"          Creole, n.o.s.",,65,
Language spoken most often at home,"          Creole languages, n.i.e.",,30,
Language spoken most often at home,        Dravidian languages,,11535,
Language spoken most often at home,          Kannada,,440,
Language spoken most often at home,          Malayalam,,2075,
Language spoken most often at home,          Tamil,,7195,
Language spoken most often at home,          Telugu,,1765,
Language spoken most often at home,          Tulu,,40,
Language spoken most often at home,"          Dravidian languages, n.i.e.",,15,
Language spoken most often at home,        Georgian,,15,
Language spoken most often at home,        Hmong-Mien languages,,0,
Language spoken most often at home,        Indo-European languages,,107145,
Language spoken most often at home,          Albanian,,1240,
Language spoken most often at home,          Armenian,,275,
Language spoken most often at home,          Balto-Slavic languages,,25395,
Language spoken most often at home,            Baltic languages,,190,
Language spoken most often at home,              Latvian,,15,
Language spoken most often at home,              Lithuanian,,175,
Language spoken most often at home,            Slavic languages,,25205,
Language spoken most often at home,              Belarusian,,10,
Language spoken most often at home,              Bulgarian,,560,
Language spoken most often at home,              Czech,,160,
Language spoken most often at home,              Macedonian,,535,
Language spoken most often at home,              Polish,,12460,
Language spoken most often at home,              Russian,,3060,
Language spoken most often at home,              Rusyn,,10,
Language spoken most often at home,              Serbo-Croatian,,4535,
Language spoken most often at home,                Bosnian,,580,
Language spoken most often at home,                Croatian,,1765,
Language spoken most often at home,                Serbian,,2150,
Language spoken most often at home,"                Serbo-Croatian, n.i.e.",,40,
Language spoken most often at home,              Slovak,,225,
Language spoken most often at home,              Slovene (Slovenian),,130,
Language spoken most often at home,              Ukrainian,,3520,
Language spoken most often at home,"              Slavic languages, n.i.e.",,5,
Language spoken most often at home,          Celtic languages,,5,
Language spoken most often at home,            Irish,,5,
Language spoken most often at home,            Scottish Gaelic,,0,
Language spoken most often at home,            Welsh,,5,
Language spoken most often at home,"            Celtic languages, n.i.e.",,0,
Language spoken most often at home,          Germanic languages,,265,
Language spoken most often at home,            Frisian,,0,
Language spoken most often at home,            High German languages,,185,
Language spoken most often at home,              German,,180,
Language spoken most often at home,              Pennsylvania German,,0,
Language spoken most often at home,              Swiss German,,0,
Language spoken most often at home,              Yiddish,,0,
Language spoken most often at home,            Low Saxon-Low Franconian languages,,60,
Language spoken most often at home,              Afrikaans,,25,
Language spoken most often at home,              Dutch,,30,
Language spoken most often at home,"              Low German, n.o.s.",,0,
Language spoken most often at home,              Low Saxon,,0,
Language spoken most often at home,              Plautdietsch,,0,
Language spoken most often at home,              Vlaams (Flemish),,0,
Language spoken most often at home,            Scandinavian languages,,25,
Language spoken most often at home,              Danish,,5,
Language spoken most often at home,              Icelandic,,0,
Language spoken most often at home,              Norwegian,,0,
Language spoken most often at home,              Swedish,,15,
Language spoken most often at home,"            Germanic languages, n.i.e.",,0,
Language spoken most often at home,          Greek,,705,
Language spoken most often at home,          Indo-Iranian languages,,59885,
Language spoken most often at home,            Indo-Aryan languages,,56140,
Language spoken most often at home,              Assamese,,35,
Language spoken most often at home,              Bengali,,2540,
Language spoken most often at home,              Gujarati,,4335,
Language spoken most often at home,              Hindi,,6860,
Language spoken most often at home,              Kacchi,,130,
Language spoken most often at home,              Kashmiri,,30,
Language spoken most often at home,              Konkani,,140,
Language spoken most often at home,              Marathi,,1175,
Language spoken most often at home,              Nepali,,575,
Language spoken most often at home,              Oriya languages,,120,
Language spoken most often at home,                Odia,,75,
Language spoken most often at home,"                Oriya, n.o.s.",,50,
Language spoken most often at home,              Punjabi (Panjabi),,14860,
Language spoken most often at home,              Rohingya,,0,
Language spoken most often at home,              Sindhi,,315,
Language spoken most often at home,              Sinhala (Sinhalese),,560,
Language spoken most often at home,              Urdu,,24310,
Language spoken most often at home,"              Indo-Aryan languages, n.i.e.",,145,
Language spoken most often at home,            Iranian languages,,3740,
Language spoken most often at home,              Baluchi,,15,
Language spoken most often at home,              Kurdish,,150,
Language spoken most often at home,              Parsi,,5,
Language spoken most often at home,              Pashto,,695,
Language spoken most often at home,              Persian languages,,2880,
Language spoken most often at home,                Dari,,1300,
Language spoken most often at home,                Iranian Persian,,1315,
Language spoken most often at home,"                Persian (Farsi), n.o.s.",,270,
Language spoken most often at home,"              Iranian languages, n.i.e.",,0,
Language spoken most often at home,"            Indo-Iranian languages, n.i.e.",,5,
Language spoken most often at home,          Italic (Romance) languages,,19370,
Language spoken most often at home,            Catalan,,5,
Language spoken most often at home,            Italian,,2825,
Language spoken most often at home,            Portuguese,,5925,
Language spoken most often at home,            Romanian,,1245,
Language spoken most often at home,            Spanish,,9365,
Language spoken most often at home,"            Italic (Romance) languages, n.i.e.",,5,
Language spoken most often at home,"          Indo-European languages, n.i.e.",,0,
Language spoken most often at home,        Japanese,,440,
Language spoken most often at home,        Korean,,3145,
Language spoken most often at home,        Mongolian,,20,
Language spoken most often at home,        Niger-Congo languages,,760,
Language spoken most often at home,          Akan (Twi),,295,
Language spoken most often at home,          Bamanankan,,0,
Language spoken most often at home,          Edo,,10,
Language spoken most often at home,          Éwé,,15,
Language spoken most often at home,"          Fulah (Pular, Pulaar, Fulfulde)",,10,
Language spoken most often at home,          Ga,,20,
Language spoken most often at home,          Ganda,,15,
Language spoken most often at home,          Gikuyu,,5,
Language spoken most often at home,          Igbo,,65,
Language spoken most often at home,          Kinyarwanda (Rwanda),,5,
Language spoken most often at home,          Lingala,,25,
Language spoken most often at home,          Luba-Kasai,,0,
Language spoken most often at home,          Mòoré,,0,
Language spoken most often at home,          Mwani,,10,
Language spoken most often at home,          Ndebele,,5,
Language spoken most often at home,          Rundi (Kirundi),,5,
Language spoken most often at home,          Shona,,15,
Language spoken most often at home,          Soninke,,0,
Language spoken most often at home,          Sotho-Tswana languages,,0,
Language spoken most often at home,          Swahili,,80,
Language spoken most often at home,          Wojenaka,,0,
Language spoken most often at home,          Wolof,,0,
Language spoken most often at home,          Yoruba,,135,
Language spoken most often at home,"          Niger-Congo languages, n.i.e.",,45,
Language spoken most often at home,        Nilo-Saharan languages,,35,
Language spoken most often at home,          Dinka,,0,
Language spoken most often at home,          Nuer,,15,
Language spoken most often at home,"          Nilo-Saharan languages, n.i.e.",,15,
Language spoken most often at home,"          African, n.o.s.",,0,
Language spoken most often at home,        Sign languages,,280,
Language spoken most often at home,          American Sign Language,,210,
Language spoken most often at home,          Quebec Sign Language,,0,
Language spoken most often at home,"          Sign languages, n.i.e.",,75,
Language spoken most often at home,        Sino-Tibetan languages,,30050,
Language spoken most often at home,          Chinese languages,,29760,
Language spoken most often at home,            Hakka,,65,
Language spoken most often at home,            Mandarin,,18070,
Language spoken most often at home,            Min Dong,,30,
Language spoken most often at home,"            Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",,415,
Language spoken most often at home,            Wu (Shanghainese),,205,
Language spoken most often at home,            Yue (Cantonese),,10705,
Language spoken most often at home,"            Chinese, n.o.s.",,255,
Language spoken most often at home,"            Chinese languages, n.i.e.",,10,
Language spoken most often at home,          Tibeto-Burman languages,,295,
Language spoken most often at home,            Burmese,,80,
Language spoken most often at home,            Kuki-Chin languages,,0,
Language spoken most often at home,            Karenic languages,,0,
Language spoken most often at home,              S'gaw Karen,,0,
Language spoken most often at home,"              Karenic languages, n.i.e.",,0,
Language spoken most often at home,            Tibetan,,210,
Language spoken most often at home,"            Tibeto-Burman languages, n.i.e.",,5,
Language spoken most often at home,"          Sino-Tibetan languages, n.i.e.",,5,
Language spoken most often at home,        Tai-Kadai languages,,135,
Language spoken most often at home,          Lao,,70,
Language spoken most often at home,          Thai,,65,
Language spoken most often at home,"          Tai-Kadai languages, n.i.e.",,0,
Language spoken most often at home,        Turkic languages,,840,
Language spoken most often at home,          Azerbaijani,,20,
Language spoken most often at home,          Kazakh,,0,
Language spoken most often at home,          Turkish,,735,
Language spoken most often at home,          Uyghur,,65,
Language spoken most often at home,          Uzbek,,20,
Language spoken most often at home,"          Turkic languages, n.i.e.",,5,
Language spoken most often at home,        Uralic languages,,505,
Language spoken most often at home,          Estonian,,10,
Language spoken most often at home,          Finnish,,15,
Language spoken most often at home,          Hungarian,,485,
Language spoken most often at home,"        Other languages, n.i.e.",,10,
Language spoken most often at home,  Multiple responses,,72440,
Language spoken most often at home,    English and French,,1525,
Language spoken most often at home,    English and non-official language(s),,68355,
Language spoken most often at home,    French and non-official language(s),,325,
Language spoken most often at home,"    English, French and non-official language(s)",,885,
Language spoken most often at home,    Multiple non-official languages,,1340,
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,42,714840,
Other language spoken regularly at home,  None,,492280,
Other language spoken regularly at home,  English,,84240,
Other language spoken regularly at home,  French,,6000,
Other language spoken regularly at home,  Non-official language,,101055,
Other language spoken regularly at home,    Indigenous,39,15,
Other language spoken regularly at home,    Non-Indigenous,,101040,
Other language spoken regularly at home,  English and French,,1250,
Other language spoken regularly at home,  English and non-official language(s),,12975,
Other language spoken regularly at home,  French and non-official language(s),,3690,
Other language spoken regularly at home,"  English, French and non-official language(s)",,195,
Other language spoken regularly at home,  Multiple non-official languages,,13150,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,43,712825,
Knowledge of languages,  Official languages,,688520,
Knowledge of languages,    English,,688000,
Knowledge of languages,    French,,48150,
Knowledge of languages,  Non-official languages,,438795,
Knowledge of languages,    Indigenous languages,39,55,
Knowledge of languages,      Algonquian languages,,40,
Knowledge of languages,        Blackfoot,,0,
Knowledge of languages,        Cree-Innu languages,,10,
Knowledge of languages,          Atikamekw,,0,
Knowledge of languages,          Cree languages,,10,
Knowledge of languages,            Ililimowin (Moose Cree),,0,
Knowledge of languages,            Inu Ayimun (Southern East Cree),,0,
Knowledge of languages,            Iyiyiw-Ayimiwin (Northern East Cree),,0,
Knowledge of languages,            Nehinawewin (Swampy Cree),,0,
Knowledge of languages,            Nehiyawewin (Plains Cree),,0,
Knowledge of languages,            Nihithawiwin (Woods Cree),,0,
Knowledge of languages,"            Cree, n.o.s.",,10,
Knowledge of languages,          Innu (Montagnais),,0,
Knowledge of languages,          Naskapi,,0,
Knowledge of languages,        Eastern Algonquian languages,,0,
Knowledge of languages,          Mi'kmaq,,0,
Knowledge of languages,          Wolastoqewi (Malecite),,0,
Knowledge of languages,        Ojibway-Potawatomi languages,,15,
Knowledge of languages,          Anicinabemowin (Algonquin),,0,
Knowledge of languages,          Oji-Cree,,0,
Knowledge of languages,          Ojibway languages,,15,
Knowledge of languages,            Anishinaabemowin (Chippewa),,15,
Knowledge of languages,            Daawaamwin (Odawa),,0,
Knowledge of languages,            Saulteau (Western Ojibway),,0,
Knowledge of languages,"            Ojibway, n.o.s.",,0,
Knowledge of languages,"        Algonquian languages, n.i.e.",,0,
Knowledge of languages,      Athabaskan languages,,0,
Knowledge of languages,        Northern Athabaskan languages,,0,
Knowledge of languages,          Dakelh (Carrier),,0,
Knowledge of languages,          Dane-zaa (Beaver),,0,
Knowledge of languages,"          Dene, n.o.s.",,0,
Knowledge of languages,          Gwich'in,,0,
Knowledge of languages,          Slavey-Hare languages,,0,
Knowledge of languages,            Deh Gah Ghotie Zhatie (South Slavey),,0,
Knowledge of languages,            Satuotine Yati (North Slavey),,0,
Knowledge of languages,"            Slavey, n.o.s.",,0,
Knowledge of languages,          Tahltan languages,,0,
Knowledge of languages,            Kaska (Nahani),,0,
Knowledge of languages,            Tahltan,,0,
Knowledge of languages,          Tlicho (Dogrib),,0,
Knowledge of languages,          Tse'khene (Sekani),,0,
Knowledge of languages,          Tsilhqot'in (Chilcotin),,0,
Knowledge of languages,          Tsuu T'ina (Sarsi),,0,
Knowledge of languages,          Tutchone languages,,0,
Knowledge of languages,            Northern Tutchone,,0,
Knowledge of languages,            Southern Tutchone,,0,
Knowledge of languages,"            Tutchone, n.o.s.",,0,
Knowledge of languages,          Wetsuwet'en-Babine,,0,
Knowledge of languages,        Tlingit,,0,
Knowledge of languages,"        Athabaskan languages, n.i.e.",,0,
Knowledge of languages,      Haida,,0,
Knowledge of languages,      Inuktut (Inuit) languages,,0,
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0,
Knowledge of languages,          Inuinnaqtun,,0,
Knowledge of languages,          Inuvialuktun,,0,
Knowledge of languages,        Inuktitut,,0,
Knowledge of languages,"        Inuktut (Inuit) languages, n.i.e.",,0,
Knowledge of languages,      Iroquoian languages,,0,
Knowledge of languages,        Cayuga,,0,
Knowledge of languages,        Mohawk,,0,
Knowledge of languages,        Oneida,,0,
Knowledge of languages,"        Iroquoian languages, n.i.e.",,0,
Knowledge of languages,      Ktunaxa (Kutenai),,0,
Knowledge of languages,      Michif,,0,
Knowledge of languages,      Salish languages,,0,
Knowledge of languages,        Halkomelem,,0,
Knowledge of languages,        Lillooet,,0,
Knowledge of languages,        Ntlakapamux (Thompson),,0,
Knowledge of languages,        Secwepemctsin (Shuswap),,0,
Knowledge of languages,        Squamish,,0,
Knowledge of languages,        Straits,,0,
Knowledge of languages,        Syilx (Okanagan),,0,
Knowledge of languages,"        Salish languages, n.i.e.",,0,
Knowledge of languages,      Siouan languages,,0,
Knowledge of languages,        Assiniboine,,0,
Knowledge of languages,        Dakota,,0,
Knowledge of languages,        Stoney,,0,
Knowledge of languages,"        Siouan languages, n.i.e.",,0,
Knowledge of languages,      Tsimshian languages,,0,
Knowledge of languages,        Gitxsan (Gitksan),,0,
Knowledge of languages,        Nisga'a,,0,
Knowledge of languages,        Tsimshian,,0,
Knowledge of languages,      Wakashan languages,,0,
Knowledge of languages,        Haisla,,0,
Knowledge of languages,        Heiltsuk,,0,
Knowledge of languages,        Kwak'wala (Kwakiutl),,0,
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0,
Knowledge of languages,"        Wakashan languages, n.i.e.",,0,
Knowledge of languages,"      Indigenous languages, n.i.e.",,0,
Knowledge of languages,"      Indigenous languages, n.o.s.",,0,
Knowledge of languages,    Non-Indigenous languages,,438745,
Knowledge of languages,      Afro-Asiatic languages,,54370,
Knowledge of languages,        Berber languages,,100,
Knowledge of languages,          Kabyle,,25,
Knowledge of languages,          Tamazight,,35,
Knowledge of languages,"          Berber languages, n.i.e.",,40,
Knowledge of languages,        Chadic languages,,125,
Knowledge of languages,          Hausa,,100,
Knowledge of languages,          Mina,,25,
Knowledge of languages,        Coptic,,700,
Knowledge of languages,        Cushitic languages,,1785,
Knowledge of languages,          Bilen,,15,
Knowledge of languages,          Oromo,,60,
Knowledge of languages,          Somali,,1705,
Knowledge of languages,"          Cushitic languages, n.i.e.",,0,
Knowledge of languages,        Semitic languages,,52455,
Knowledge of languages,          Amharic,,600,
Knowledge of languages,          Arabic,,49495,
Knowledge of languages,          Aramaic languages,,2205,
Knowledge of languages,            Assyrian Neo-Aramaic,,1375,
Knowledge of languages,            Chaldean Neo-Aramaic,,585,
Knowledge of languages,"            Aramaic, n.o.s.",,265,
Knowledge of languages,          Harari,,35,
Knowledge of languages,          Hebrew,,505,
Knowledge of languages,          Maltese,,1005,
Knowledge of languages,          Tigrigna,,435,
Knowledge of languages,"          Semitic languages, n.i.e.",,35,
Knowledge of languages,      Austro-Asiatic languages,,13870,
Knowledge of languages,        Khmer (Cambodian),,160,
Knowledge of languages,        Vietnamese,,13745,
Knowledge of languages,"        Austro-Asiatic languages, n.i.e",,10,
Knowledge of languages,      Austronesian languages,,30380,
Knowledge of languages,        Bikol,,145,
Knowledge of languages,"        Bisaya, n.o.s.",,225,
Knowledge of languages,        Cebuano,,1070,
Knowledge of languages,        Fijian,,15,
Knowledge of languages,        Hiligaynon,,515,
Knowledge of languages,        Ilocano,,1400,
Knowledge of languages,        Indonesian,,1220,
Knowledge of languages,        Kankanaey,,20,
Knowledge of languages,        Kinaray-a,,50,
Knowledge of languages,        Malagasy languages,,40,
Knowledge of languages,          Merina,,0,
Knowledge of languages,"          Malagasy, n.o.s.",,30,
Knowledge of languages,        Malay,,350,
Knowledge of languages,"        Pampangan (Kapampangan, Pampango)",,410,
Knowledge of languages,        Pangasinan,,70,
Knowledge of languages,"        Tagalog (Pilipino, Filipino)",,28240,
Knowledge of languages,        Waray-Waray,,165,
Knowledge of languages,"        Austronesian languages, n.i.e.",,520,
Knowledge of languages,      Creole languages,,2370,
Knowledge of languages,        Haitian Creole,,205,
Knowledge of languages,        Jamaican English Creole,,280,
Knowledge of languages,        Krio,,10,
Knowledge of languages,        Morisyen,,1035,
Knowledge of languages,        Sango,,0,
Knowledge of languages,"        Creole, n.o.s.",,745,
Knowledge of languages,"        Creole languages, n.i.e.",,265,
Knowledge of languages,      Dravidian languages,,27955,
Knowledge of languages,        Kannada,,2555,
Knowledge of languages,        Malayalam,,5875,
Knowledge of languages,        Tamil,,17180,
Knowledge of languages,        Telugu,,5570,
Knowledge of languages,        Tulu,,390,
Knowledge of languages,"        Dravidian languages, n.i.e.",,135,
Knowledge of languages,      Georgian,,130,
Knowledge of languages,      Hmong-Mien languages,,0,
Knowledge of languages,      Indo-European languages,,263220,
Knowledge of languages,        Albanian,,3590,
Knowledge of languages,        Armenian,,760,
Knowledge of languages,        Balto-Slavic languages,,55720,
Knowledge of languages,        Baltic languages,,560,
Knowledge of languages,            Latvian,,105,
Knowledge of languages,            Lithuanian,,455,
Knowledge of languages,          Slavic languages,,55330,
Knowledge of languages,            Belarusian,,175,
Knowledge of languages,            Bulgarian,,1350,
Knowledge of languages,            Czech,,845,
Knowledge of languages,            Macedonian,,1690,
Knowledge of languages,            Polish,,27810,
Knowledge of languages,            Russian,,9165,
Knowledge of languages,            Rusyn,,30,
Knowledge of languages,            Serbo-Croatian,,11745,
Knowledge of languages,              Bosnian,,2100,
Knowledge of languages,              Croatian,,6735,
